epoch,loss,val_loss
0,224238380.653,3461.82826602
1,3228.01428904,2424.31238061
2,2440.48039719,2113.67050339
3,2202.05306129,2045.99157607
4,2147.4811189,2111.42638131
5,52046659.619,1799.10963984
6,1894.39968903,1788.64356949
7,1818.32993102,2172.2099001
8,2378.42038542,1669.35843204
9,1697.67784669,1833.08572736
10,1689.70623142,2561.11394858
11,1922.64822267,1882.63669078
12,2612.07354645,5339.08289207
13,2730.50596096,2396.65689249
14,3284.88091513,2436.82251889
15,3116.04417585,3898.50834604
16,2845.51541348,1955.85028444
17,54863.3425914,1739.81149172
18,10101243.9433,1638.98878179
19,1664.02510291,1567.89716667
20,1620.16997106,1497.18771096
21,1603.41832376,1572.79202568
22,1592.89474571,1598.6763859
23,1659.44317323,2129.97671201
24,2198.68017192,4557.40093012
25,2752.44017885,2484.79669886
26,5135.45520079,2042.78393767
27,2117.47874123,1675.21153119
28,2382.06860743,2357.96079153
29,2521.96245261,2818.90539333
30,2430.76128221,2447.74647254
31,2340.36567488,1900.90321154
32,2510.96930203,1556.705145
33,1.54720473709e+16,1623.61456424
34,1479.25698441,1679.98129255
35,1435.172972,1452.78770209
36,1410.36085088,1578.00236182
37,1398.57363171,1577.93008513
38,1381.86543873,1254.04003133
39,1351.9276509,1529.06281282
